"ADDRESS","BOROUGH","BIN","CD","CATEGORY","SUBCATEGORIES","JOB NUMBERS"
"405 EAST   54 STREET","MANHATTAN","1078260","106","Approved Work","LAA","M00351793"
"405 EAST 78 STREET","Manhattan","1046015","108","Approved Work","Emergency Construction","120186173"
"406 WEST 39TH STREET","Manhattan","1078475","104","Approved Work","Essential Facility; Affordable Housing","123897006"
"406 WEST 52 STREET","Manhattan","1026738","104","Approved Work","Essential Business","123431349"
"4060 BROADWAY","MANHATTAN","1063460","112","Approved Work","Electrical","M00341805"
"407 EAST 61 STREET","MANHATTAN","1045282","108","Approved Work","Essential Facility; Electrical","123710341; M00343359"
"408 EAST 82 STREET","MANHATTAN","1082080","108","Approved Work","Essential Facility","M00239232"
"409 EAST 69 STREET","MANHATTAN","1078427","108","Approved Work","Emergency Construction","123701226"
"409 EDGECOMBE AVENUE","Manhattan","1061186","109","Approved Work","Essential Facility","104604180; 122892708"
"41 MADISON AVENUE","MANHATTAN","1016749","105","Approved Work","Emergency Construction; Essential Business","123854141; M00270200; M00278852; M00309447; M00309518; 123725291"
"41 PARK AVENUE","MANHATTAN","1018936","106","Approved Work","Essential Facility","140886003; M00291134; M00291135"
"41 PARK TERRACE WEST","MANHATTAN","1080040","112","Approved Work","Emergency Construction","140861459"
"41 WEST 57 STREET","MANHATTAN","1035065","105","Approved Work","Emergency Construction","123675656"
"41 WEST 82ND STREET","Manhattan","1031168","107","Approved Work","Single Worker Limit","M00214894"
"410 GRAND STREET","MANHATTAN","1083423","103","Approved Work","Essential Facility; Affordable Housing","123777724; 123818529"
"410 RIVERSIDE DRIVE","Manhattan","1057345","109","Approved Work","Emergency Construction","123760260"
"410 ST NICHOLAS AVE.","Manhattan","1084089","110","Approved Work","Emergency Construction","122911858"
"411 EAST 83 STREET","MANHATTAN","1050452","108","Approved Work","Emergency Construction","140892568"
"413 EAST 50 STREET","MANHATTAN","1040119","106","Approved Work","Emergency Construction","123713366"
"413 W 125 STREET","Manhattan","1059548","109","Approved Work","Essential Business","140789886"
"414 WEST 48 STREET","Manhattan","1079207","104","Approved Work","Essential Facility; Affordable Housing","123889710"
"415 10TH AVENUE","Manhattan","1090274","104","Approved Work","Emergency Construction","123788589; 140879958; 140879967"
"415 EAST 37 STREET","MANHATTAN","1076168","106","Approved Work","LAA","M00341907"
"415 EAST 85TH STREET","Manhattan","1050534","108","Approved Work","Emergency Construction","123880639"
"415 EAST 91 STREET","MANHATTAN","1050752","108","Approved Work","Essential Facility","123848444"
"415 WEST 120 STREET","MANHATTAN","1090804","109","Approved Work","Essential Facility; Essential Business","121188393; 123339583"
"416 EAST 78 STREET","Manhattan","1046000","108","Approved Work","LAA","M00304553; M00304553"
"416 LENOX AVE","Manhattan","1053812","110","Approved Work","Essential Facility; Affordable Housing","121204124"
"417 EAST 68 STREET","MANHATTAN","1087313","108","Approved Work","Essential Facility; Electrical","123872121; M00345036"
"418 EAST 84 ST","Manhattan","1050477","108","Approved Work","Single Worker Limit","123076991"
"419 WEST 119 STREET","MANHATTAN","1059511","109","Approved Work","Essential Facility","123829848; M00303946"
"42 TRINITY PLACE","Manhattan","1000797","101","Approved Work","Essential Facility","121191021"
"42 WEST 15 ST","Manhattan","1015300","105","Approved Work","Emergency Construction","M00229592"
"42 WEST 76 STREET","MANHATTAN","1028783","107","Approved Work","Single Worker Limit","140878370; M00268118"
"420 EAST 62 STREET","MANHATTAN","1045287","108","Approved Work","Essential Facility","M00279279"
"420 EAST 70TH STREET","Manhattan","1045588","108","Approved Work","Essential Facility","123894795; 123894802"
"420 FIFTH AVENUE","Manhattan","1081017","105","Approved Work","Single Worker Limit; Essential Business","123777029; M00258058"
"420 LEXINGTON AVENUE","Manhattan","1035385","105","Approved Work","Essential Facility; Essential Business","M00234343; M00234354; M00234364; M00244064; M00244066; M00276993; M00277015; M00277025; 123694779; 123787125; 123798257; 123857139"
"420 PARK AVENUE SOUTH","MANHATTAN","1088542","105","Approved Work","Essential Facility","123661661"
"420 WEST 23 STREET","MANHATTAN","1012691","104","Approved Work","LAA","M00349057"
"421 EAST 118 STREET","Manhattan","1054811","111","Approved Work","Single Worker Limit","121205944"
"421 WEST 57 STREET","MANHATTAN","1026885","104","Approved Work","Emergency Construction","123910697"
"422 EAST 81 STREET","MANHATTAN","1050378","108","Approved Work","Essential Facility; Affordable Housing; Single Worker Limit","140886478; 140887379; 140889741; 140890310; 140892363; 140892737; 140892764; M00315707; M00315719; M00326007; M00334818; M00335140; M00335381; 140886478; 140887379; 140889741; 140890310; M00326007"
"4238 BROADWAY","MANHATTAN","1063918","112","Approved Work","Essential Facility","140895547"
"424 FIFTH AVENUE","Manhattan","1016004","105","Approved Work","Emergency Construction","121189597"
"425 EAST 86TH STREET","Manhattan","1050548","108","Approved Work","Emergency Construction","122816658"
"425 PARK AVENUE","Manhattan","1036505","105","Approved Work","Emergency Construction","122223502"
"425 WEST 50 STREET","MANHATTAN","1026676","104","Approved Work","Emergency Construction","123874520"
"425 WEST 53RD STREET","Manhattan","1087823","104","Approved Work","Essential Facility","123734655"
"426 EAST 14TH STREET","Manhattan","1077676","103","Approved Work","Essential Facility; Single Worker Limit","123760938; M00333107"
"427 EAST 90TH STREET","Manhattan","1050732","108","Approved Work","Emergency Construction","123325687"
"427 WEST 22 STREET","Manhattan","1012688","104","Approved Work","Single Worker Limit","123902465"
"428 EAST 117 ST","Manhattan","1079400","111","Approved Work","Essential Facility; Affordable Housing","123207582"
"428 EAST 14TH STREET","Manhattan","1077677","103","Approved Work","Essential Facility; Single Worker Limit","123892430; M00333482"
"428 EAST 57 STREET","MANHATTAN","1040472","106","Approved Work","Emergency Construction","M00231535; M00231550; M00245620; M00331534"
"428 EAST 92 STREET","Manhattan","1050759","108","Approved Work","Essential Business","122961321"
"428 WEST 204TH STREET","Manhattan","1079981","112","Approved Work","Essential Facility; Affordable Housing","122743442"
"429 EAST 115TH STREET","Manhattan","1053048","111","Approved Work","Essential Facility; Affordable Housing","122957158"
"429 WEST 22 STREET","Manhattan","1085545","104","Approved Work","Single Worker Limit","123902474"
"43 2 AVENUE","MANHATTAN","1006551","103","Approved Work","Electrical","M00341015"
"43 3 AVENUE","MANHATTAN","1006764","103","Approved Work","Essential Business","M00295310"
"43 WEST 23RD STREET","Manhattan","1015579","105","Approved Work","Essential Business","123775646; M00232163"
"43 WEST 57 STREET","MANHATTAN","1035064","105","Approved Work","Emergency Construction","123675665"
"430 EAST 14TH STREET","Manhattan","1077678","103","Approved Work","Essential Facility; Single Worker Limit","123720401; M00333483"
"430 EAST 29TH STREET","Manhattan","1087989","106","Approved Work","Essential Facility; Essential Business","123792707; M00279233; 140899035"
"430 EAST 58 STREET","Manhattan","1090365","106","Approved Work","Emergency Construction","121191423; 140869521; 140869530; 140869549; 140887459"
"430 EAST 63 STREET","MANHATTAN","1078385","108","Approved Work","Emergency Construction","123505340"
"430 EAST 67TH STREET","Manhattan","1045570","108","Approved Work","Essential Facility","123391007"
"430 WEST 34 STREET","MANHATTAN","1012853","104","Approved Work","Essential Facility","M00326335"
"430 WEST BROADWAY","Manhattan","1066773","102","Approved Work","Essential Business","123840497"
"431 RIVERSIDE DRIVE","MANHATTAN","1057373","109","Approved Work","Electrical","M00340478"
"432 PARK AVE SOUTH","Manhattan","1016934","105","Approved Work","Emergency Construction","123510815"
"432 WEST 204TH STREET","Manhattan","1079982","112","Approved Work","Essential Facility; Affordable Housing","123059723"
"435 EAST 14TH STREET","Manhattan","1082879","106","Approved Work","Emergency Construction","123768039"
"435 EAST 52ND STREET","Manhattan","1040155","106","Approved Work","Essential Facility","121374244"
"435 EAST 70TH STREET","Manhattan","1045818","108","Approved Work","Essential Facility","140882267; M00288391; M00289080"
"435 EAST 86 STREET","MANHATTAN","1050549","108","Approved Work","Emergency Construction","M00337986"
"435 WEST 19TH STREET","Manhattan","1012575","104","Approved Work","Essential Facility","122609132; 122979401"
"435 WEST 31ST STREET","Manhattan","1089664","104","Approved Work","Essential Business","121187697"
"436 EAST 10 STREET","MANHATTAN","1004551","103","Approved Work","Electrical","M00350131"
"436 WEST 204TH STREET","Manhattan","1079983","112","Approved Work","Essential Facility; Affordable Housing","123029472"
"437 AUDUBON AVE","Manhattan","1063741","112","Approved Work","Emergency Construction","123769706"
"437 EAST 6 STREET","MANHATTAN","1005799","103","Approved Work","Emergency Construction","123814765"
"438 WEST 51 STREET","Manhattan","1026698","104","Approved Work","Essential Facility","122616302"
"44 HORATIO STREET","Manhattan","1011654","102","Approved Work","Single Worker Limit","121193225"
"44 UNION SQUARE EAST","Manhattan","1017839","105","Approved Work","Essential Facility","121193047; 140417902"
"44 WALL STREET","MANHATTAN","1001017","101","Approved Work","LAA","M00340695"
"44 WEST 28 STREET","Manhattan","1015707","105","Approved Work","Single Worker Limit; Electrical","140892292; 140898250; M00342667"
"44 WEST 62 STREET","Manhattan","1027365","107","Approved Work","Emergency Construction","123526167"
"440 EAST 79 STRET","Manhattan","1046026","108","Approved Work","Essential Facility","102737549"
"440 NINTH AVENUE","Manhattan","1013562","104","Approved Work","Essential Business","M00219976; M00299320"
"440 PARK AVENUE","Manhattan","1088817","105","Approved Work","Electrical","M00341625"
"440 PARK AVENUE SOUTH","Manhattan","1016935","105","Approved Work","Essential Facility; Essential Business; LAA","123888374; M00214396; M00217678; M00352814"
"440 RIVERSIDE DRIVE","MANHATTAN","1059817","109","Approved Work","Single Worker Limit","140862804; M00191684; M00191842"
"440 WEST END AVE","Manhattan","1032677","107","Approved Work","Emergency Construction; Essential Facility; Single Worker Limit","123266170; 123882655; M00219867; M00232217; M00232507"
"441 9TH AVENUE","Manhattan","1012860","104","Approved Work","Essential Business","123740746; M00239518; M00248733; M00248751; M00248759; M00248791; M00249019; M00249041; M00249053; M00311275; M00322629"
"441 WEST 37TH STREET","Manhattan","1012975","104","Approved Work","Essential Facility","122865319"
"441 WEST 53RD STREET","Manhattan","1026756","104","Approved Work","Essential Facility","123365027; 123368462; M00227242"
"442 EAST 77TH STREET","Manhattan","1045963","108","Approved Work","Essential Facility","123771819"
"442 WEST 33RD STREET","Manhattan","1089974","104","Approved Work","Emergency Construction","121187713"
"443 WEST  151 STREET","MANHATTAN","1083670","109","Approved Work","Electrical","M00341786"
"444 CPW","Manhattan","1055495","107","Approved Work","Single Worker Limit","M00345234"
"444 EAST 52 STREET","MANHATTAN","1040141","106","Approved Work","Essential Business","140872116"
"444 EAST 77TH STREET","Manhattan","1045962","108","Approved Work","Essential Facility","123771800"
"444 MADISON AVENUE","Manhattan","1035454","105","Approved Work","Emergency Construction","123765381"
"445 EAST 80TH STREET","Manhattan","1050368","108","Approved Work","Emergency Construction","123658210"
"445 WEST 153RD STREET","Manhattan","1061660","109","Approved Work","Essential Facility","140891159"
"445 WEST 35 STREET","Manhattan","1090717","104","Approved Work","Essential Facility","123535399"
"4455 BROADWAY","MANHATTAN","1064466","112","Approved Work","Emergency Construction","M00176626"
"446 BROADWAY","Manhattan","1003029","102","Approved Work","Emergency Construction","140869692"
"446 EAST 117 ST","Manhattan","1053089","111","Approved Work","Essential Facility; Affordable Housing","123207617"
"45 1 AVENUE","MANHATTAN","1006132","103","Approved Work","Single Worker Limit","123712688; M00285695"
"45 COLUMBUS AVENUE","Manhattan","1027366","107","Approved Work","Essential Facility","123701002"
"45 EAST 72 STREET","MANHATTAN","1041460","108","Approved Work","Emergency Construction","M00281451"
"45 JOHN STREET","MANHATTAN","1001199","101","Approved Work","Single Worker Limit","104455019"
"45 TIEMANN PLACE","Manhattan","1059883","109","Approved Work","Single Worker Limit","123347137; 140782437"
"45 TUDOR CITY PLACE","MANHATTAN","1038660","106","Approved Work","Essential Facility","123856817"
"45 WEST 35","Manhattan","1015888","105","Approved Work","Essential Business","121994057; 123198262"
"45 WEST 36 STREET","MANHATTAN","1015923","105","Approved Work","Essential Facility","M00344411"
"450 11 AVENUE","MANHATTAN","1080352","104","Approved Work","Emergency Construction","121188641"
"450 PARK AVENUE","Manhattan","1035780","105","Approved Work","Emergency Construction","123913505"
"450 W 126TH ST","Manhattan","1090163","109","Approved Work","Emergency Construction; Essential Facility","121643043; M00290525"
"450 W. 14 ST","Manhattan","1012223","102","Approved Work","Essential Facility","123832193"
"450 WEST 147 STREET","Manhattan","1061412","109","Approved Work","Essential Facility","123570144"
"450 WEST 33RD STREET","Manhattan","1089695","104","Approved Work","Essential Facility; Essential Business","123538261; 123570670; 123865683; 123866012; M00264588; M00264628; M00315377; M00320676; M00134078; M00134084; M00143759; M00262052; M00262060; M00262064"
"451 TENTH AVENUE","MANHATTAN","1800727","104","Approved Work","Essential Facility","121205454"
"452 EAST   84 STREET","MANHATTAN","1050482","108","Approved Work","LAA","M00343983"
"453 EAST 86TH STREET","Manhattan","1073878","108","Approved Work","Essential Facility","123878722"
"454 WEST   20 STREET","MANHATTAN","1012604","104","Approved Work","LAA","M00341914"
"454 WEST   44 STREET","MANHATTAN","1026384","104","Approved Work","LAA","M00340580"
"454 WEST  155 STREET","MANHATTAN","1088133","109","Approved Work","Electrical","M00340041"
"455 FIFTH AVENUE","Manhattan","1017602","105","Approved Work","Essential Business","123313725"
"455 MADISON AVE","Manhattan","1035462","105","Approved Work","Essential Facility","123775389"
"456 GREENWICH STREET","Manhattan","1002927","101","Approved Work","Electrical","M00345333; M00346089"
"46 HORATIO STREET","Manhattan","1011653","102","Approved Work","Single Worker Limit","121193270"
"46 WEST 129 STREET","MANHATTAN","1053710","110","Approved Work","Essential Facility","140712851"
"460 GRAND STREET","MANHATTAN","1004075","103","Approved Work","Essential Facility; Affordable Housing","123818510"
"460 WEST 41ST STREET","Manhattan","1080924","104","Approved Work","Essential Facility","121188614; 123527184; 123527193; 140789056"
"461 5TH AVENUE","Manhattan","1071438","105","Approved Work","Essential Facility; Essential Business","M00248703; M00248714; M00248730; M00297765; 123701235; 123789962"
"462 PARK AVENUE  SOUTH","Manhattan","1080789","105","Approved Work","Emergency Construction","123862418"
"463 WEST STREET","Manhattan","1012047","102","Approved Work","Essential Facility; Affordable Housing","140609526"
"466 AMSTERDAM AVENUE","Manhattan","1032762","107","Approved Work","Emergency Construction","140861949"
"466 GRAND STREET","MANHATTAN","1004072","103","Approved Work","State Approved","123350872"
"468 COLUMBUS AVENUE","Manhattan","1032071","107","Approved Work","Essential Facility","121190255"
"468 RIVERSIDE DRIVE","MANHATTAN","1059826","109","Approved Work","Essential Facility","123358552"
"47 CHARLES STREET","Manhattan","1078142","102","Approved Work","Emergency Construction","123671696"
"47 E 77 ST","Manhattan","1072068","108","Approved Work","Electrical","M00344139"
"47 GREENE STREET","Manhattan","1007080","102","Approved Work","Emergency Construction","M00339752"
"470 LENOX AVENUE","Manhattan","1053898","110","Approved Work","Essential Facility","140845487"
"471 WEST 33RD STREET","Manhattan","1012843","104","Approved Work","Emergency Construction; Essential Business; Electrical","121205212; 123797114; 140852085; 140897180; M00165218; M00255795; M00255867; M00255976; M00255994; M00256021; M00256365; M00256384; M00256454; 123758923; 123845679; M00224355; M00233155; M00243404; M00287707; M00288804; M00323908; M00165218; M00165218"
"4728 BROADWAY","MANHATTAN","1064224","112","Approved Work","Essential Facility","140898759; M00341721"
"474 WEST 158TH STREET","Manhattan","1079764","112","Approved Work","Single Worker Limit","140893512"
"475 WEST BROADWAY","MANHATTAN","1008010","102","Approved Work","LAA","M00340710"
"476 COLUMBUS AVENUE","Manhattan","1032074","107","Approved Work","Emergency Construction","123897453"
"476 FIFTH AVENUE","Manhattan","1034194","105","Approved Work","Essential Business","123888524"
"477 MADISON AVENUE","Manhattan","1035471","105","Approved Work","Emergency Construction","M00240420; M00270595; M00311213"
"478 WEST 158 STREET","Manhattan","1079769","112","Approved Work","Single Worker Limit","140894575"
"48 ALLEN STREET","Manhattan","1003991","103","Approved Work","Emergency Construction","123174769; M00270625"
"48 CARMINE ST.","Manhattan","1008358","102","Approved Work","Emergency Construction","140879501"
"48 WEST   14 STREET","MANHATTAN","1080154","102","Approved Work","Electrical","M00349817"
"48 WEST 139 STREET","MANHATTAN","1083986","110","Approved Work","Essential Facility; Affordable Housing","123811063"
"48 WEST 74 STREET","MANHATTAN","1028686","107","Approved Work","Essential Facility","123892396"
"480 LENOX AVE","Manhattan","1053897","110","Approved Work","Essential Facility","123835573; 123861204"
"480 ST NICHOLAS AVENUE","Manhattan","1059446","110","Approved Work","Emergency Construction","123759726"
"480 WEST 187TH STREET","Manhattan","1063586","112","Approved Work","LAA","M00343085"
"485 LENOX AVENUE","Manhattan","1058249","110","Approved Work","Essential Facility; Affordable Housing","123040832"
"49 EAST 68 STREET","Manhattan","1041264","108","Approved Work","Essential Facility","123790344"
"49 W 27TH ST","Manhattan","1015676","105","Approved Work","Essential Facility","123842244"
"49 WEST   62 STREET","MANHATTAN","1027461","107","Approved Work","Electrical","M00341711"
"49 WEST 44 STREET","Manhattan","1034220","105","Approved Work","Essential Business","122979303"
"4915 BROADWAY","MANHATTAN","1064985","112","Approved Work","LAA","M00354366"
"498 SEVENTH AVENUE","Manhattan","1014445","105","Approved Work","Essential Facility; Essential Business","121188534; 123342748; M00164448; M00177559; M00185778; M00187703; 123800280; M00183116"
"5 COLUMBUS CIRCLE","MANHATTAN","1024909","105","Approved Work","Essential Facility","122003642; 123703705; M00314322; M00314357; M00314365"
"5 EAST 124 STREET","Manhattan","1053999","111","Approved Work","Essential Facility","123522072"
"5 EAST 57TH STREET","Manhattan","1036052","105","Approved Work","Emergency Construction","123820883"
"5 EAST 81 STREET","MANHATTAN","1046661","108","Approved Work","Electrical","M00348799"
"5 EAST 98 STREET","MANHATTAN","1083920","111","Approved Work","Electrical","M00349213"
"5 MERCER STREET","Manhattan","1003003","102","Approved Work","Essential Facility","102792961"
"5 RIVERSIDE DRIVE","Manhattan","1030993","107","Approved Work","Single Worker Limit","122998328"
"5 TUDOR CITY PLACE","Manhattan","1038647","106","Approved Work","Emergency Construction; Electrical","123108216; M00345046"
"5 WEEHAWKEN STREET","MANHATTAN","1084969","102","Approved Work","","M00226283"
"5 WEST 32 STREET","MANHATTAN","1083631","105","Approved Work","Essential Business","123804632; M00329634"
"5 WEST 63 STREET","MANHATTAN","1027468","107","Approved Work","Emergency Construction; Electrical","M00337273; M00337283"
"50 BROAD STREET","MANHATTAN","1000820","101","Approved Work","Essential Business","123895179"
"50 EAST 69TH STREET","Manhattan","1041269","108","Approved Work","Emergency Construction","123254691; M00132555"
"50 LAIGHT STREET","Manhattan","1089331","101","Approved Work","Essential Business","123600460"
"50 NORFOLK STREET","Manhattan","1004154","103","Approved Work","Emergency Construction","123548893"
"50 RIVERSIDE DRIVE","Manhattan","1031092","107","Approved Work","Emergency Construction","123602093"
"50 VARICK STREET","MANHATTAN","1002734","101","Approved Work","Essential Facility","M00245183"
"500 EAST 14 STREET","MANHATTAN","1090249","103","Approved Work","Essential Facility","140883738; M00300011; M00300109"
"500 PARK AVENUE","MANHATTAN","1036084","105","Approved Work","Emergency Construction","M00317163"
"500 WEST 149 STREET","MANHATTAN","1062038","109","Approved Work","Emergency Construction","123880675"
"500 WEST 22ND STREET","Manhattan","1078398","104","Approved Work","Essential Facility","121190647"
"500 WEST 25TH STREET","Manhattan","1090571","104","Approved Work","Emergency Construction; Essential Business","140863055; 121190932; 123041378; 123041993; 123042297; 140641786; 140731732; 140898045; M00246596; M00258455; M00261681"
"500 WEST 33RD STREET","Manhattan","1088961","104","Approved Work","Essential Facility; Essential Business; Electrical","123525738; 123661652; 123704269; 123705302; 123716336; 123716345; 123828796; M00214024; M00214054; M00214080; M00214092; M00214565; M00214618; 123355653; M00349103"
"501 7 AVENUE","MANHATTAN","1015253","105","Approved Work","Emergency Construction","M00209659"
"502 WEST 148 STREET","MANHATTAN","1061990","109","Approved Work","Emergency Construction","123880684"
"5030 BROADWAY","MANHATTAN","1064883","112","Approved Work","Emergency Construction","123689598"
"504 WEST  142 STREET","MANHATTAN","1061807","109","Approved Work","LAA","M00341071; M00341071"
"504 WEST 143 STREET","MANHATTAN","1061864","109","Approved Work","Electrical","M00342981; M00343202"
"505 EAST   14 STREET","Manhattan","1082883","106","Approved Work","Emergency Construction","123768020"
"505 WEST 168 STREET","Manhattan","1089164","112","Approved Work","Essential Facility","123275614"
"505 WEST 23RD STREET","Manhattan","1012353","104","Approved Work","Electrical","M00350730"
"505 WEST 43 STREET","Manhattan","1090720","104","Approved Work","Essential Facility; Electrical","121187456; M00336764"
"509 WEST  140 STREET","MANHATTAN","1061764","109","Approved Work","LAA","M00342368"
"509 WEST 34TH STREET","Manhattan","1090122","104","Approved Work","Emergency Construction; Essential Facility","123876476; 140889590; 140902646"
"51 GREENE STREET","Manhattan","1007079","102","Approved Work","Emergency Construction","123297814; 123332143; M00340453; M00346174"
"51 GROVE STREET","Manhattan","1010192","102","Approved Work","Emergency Construction","123685404; 123685413"
"51 MADISON AVENUE","MANHATTAN","1016880","105","Approved Work","Essential Business","123824834; 123835225; 123847846; 123847864; M00193626; M00242474; M00242506; M00242518; M00306909; M00306924; M00306960; M00329875"
"51 WEST    8 STREET","MANHATTAN","1009448","102","Approved Work","LAA","M00343623"
"51 WEST 81 STREET","Manhattan","1031134","107","Approved Work","Emergency Construction","123294201"
"51 WHITE STREET","Manhattan","1001934","101","Approved Work","Emergency Construction","122913062"
"510 MADISON AVENUE","Manhattan","1088582","105","Approved Work","Essential Facility","123857022"
"510 WEST 144 STREET","MANHATTAN","1061889","109","Approved Work","Electrical","M00343304"
"511 5 AVENUE","MANHATTAN","1035353","105","Approved Work","Emergency Construction","123710216"
"511 WEST 167TH STREET","Manhattan","1062986","112","Approved Work","Emergency Construction","140868096"
"5118 BROADWAY","MANHATTAN","1064515","112","Approved Work","Electrical","M00341151"
"512 WEST 143RD STREET","Manhattan","1061865","109","Approved Work","Emergency Construction; Essential Business","121187955; 121187955"
"512 WEST 22ND STREET","Manhattan","1090200","104","Approved Work","Essential Facility; Essential Business","M00271634; M00272510; M00298435; M00298451; M00321065; M00322890; M00322906; 123726254; M00322861"
"512 WEST 29 STREET","MANHATTAN","1090203","104","Approved Work","Essential Facility","123788339"
"513 EAST 118TH STREET","Manhattan","1054892","111","Approved Work","Emergency Construction","123834574"
"5141 BROADWAY","MANHATTAN","1065045","112","Approved Work","Essential Facility","123670269; M00323093"
"515 EAST 72 STREET","MANHATTAN","1046261","108","Approved Work","Emergency Construction; Essential Facility","123878465; M00318970; M00321468; M00339479"
"515 MADISON AVE","Manhattan","1035728","105","Approved Work","Essential Facility","123741781; M00251813; M00251825; M00251831"
"517 WEST 29TH STREET","Manhattan","1080334","104","Approved Work","Essential Facility; Electrical","123440080; M00343235"
"518 WEST 146 STREET","MANHATTAN","1061950","109","Approved Work","Emergency Construction","123880719"
"5195 BROADWAY","MANHATTAN","1064695","208","Approved Work","Essential Facility","123572240"
"52 BROADWAY","MANHATTAN","1000814","101","Approved Work","Essential Facility","M00295518; M00300828; M00300954"
"52 EAST 78 STREET","MANHATTAN","1041832","108","Approved Work","Essential Facility","123735510"
"52 WEST 75TH STREET","Manhattan","1028734","107","Approved Work","Emergency Construction; Single Worker Limit","123370958; 123889658; M00257769"
"520 8 AVENUE","Manhattan","1083624","105","Approved Work","Electrical","M00349018"
"520 MADISON AVENUE","MANHATTAN","1035727","105","Approved Work","Essential Facility; Essential Business","123764783; M00284802; M00284835; M00284861; M00296840; M00302617"
"520 PARK AVENUE","Manhattan","1090526","108","Approved Work","Electrical","M00349788"
"520 WEST 41ST STREET","Manhattan","1090707","104","Approved Work","Essential Facility","122336873"
"521 FIFTH AVENUE","Manhattan","1035355","105","Approved Work","Emergency Construction","123449447"
"521 WEST   57 STREET","Manhattan","1027074","104","Approved Work","Essential Facility; Essential Business","123897113; 123898425; 120428858; M00273256"
"522 5 AVENUE","Manhattan","1034212","105","Approved Work","Electrical","M00344935"
"524 PARK AVENUE","Manhattan","1040805","108","Approved Work","Emergency Construction","M00293912"
"525 BROADWAY","MANHATTAN","1007248","102","Approved Work","Essential Facility; Essential Business","123886544; M00199493; 123803045; 123819136; 123830630; M00192177; M00237415"
"525 EAST 80 STREET","MANHATTAN","1051044","108","Approved Work","Emergency Construction","M00302032; M00302034"
"525 WEST 122 STREET","Manhattan","1089829","109","Approved Work","Emergency Construction","121191628; 123030870; 140733561"
"525 WEST 55 STREET","MANHATTAN","1027061","104","Approved Work","Emergency Construction","M00280015"
"527 WEST 22ND STREET","Manhattan","1012327","104","Approved Work","Essential Facility; Affordable Housing","140591429; 140591606; 140591642"
"528 WEST 150TH STREET","Manhattan","1062133","109","Approved Work","Single Worker Limit","123163842"
"528 WEST 28TH STREET","Manhattan","1090205","104","Approved Work","Essential Business","122086063"
"530 FIFTH AVENUE","Manhattan","1034227","105","Approved Work","Emergency Construction","140900158"
"530 W 163 STREET","Manhattan","1062948","112","Approved Work","Single Worker Limit; Essential Business","123888114; M00290391; M00330555"
"530 WEST 152 STREET","MANHATTAN","1062201","109","Approved Work","Electrical","M00340212"
"530 WEST 166 STREET","MANHATTAN","1062988","112","Approved Work","Essential Facility","123004854; 123778215; M00265521; M00325693; M00325699"
"531 MAIN STREET","MANHATTAN","1087293","108","Approved Work","Single Worker Limit","123892966"
"531 SIXTH AVENUE","Manhattan","1014526","104","Approved Work","Essential Facility","123174803; 123892788"
"532 WEST 20TH STREET","Manhattan","1012291","104","Approved Work","Emergency Construction","121190601"
"533 EAST 12 STREET","MANHATTAN","1088213","103","Approved Work","Emergency Construction","123757336"
"535 EAST 12 STREET","MANHATTAN","1005227","103","Approved Work","Essential Facility; Affordable Housing","123717059"
"535 EAST 86TH STREET","Manhattan","1051265","108","Approved Work","Emergency Construction","123822471"
"535 FIFTH AVENUE","MANHATTAN","1035366","105","Approved Work","Essential Facility","140898134; M00294813; M00294950; M00321261; M00329711; M00329724"
"538 WEST 114 STREET","Manhattan","1057042","109","Approved Work","Essential Facility","123003686; M00137704"
"538 WEST 126TH STREET","Manhattan","1079731","109","Approved Work","Essential Facility","123256948"
"54 LUDLOW STREET","MANHATTAN","1004026","103","Approved Work","Emergency Construction","M00326950"
"54 WEST 22 STREET","MANHATTAN","1015551","105","Approved Work","Essential Facility","123794395; M00289877"
"54 WEST 74 STREET","Manhattan","1028688","107","Approved Work","Single Worker Limit; LAA","140841999; M00343345"
"540 MADISON AVENUE","MANHATTAN","1035759","105","Approved Work","Essential Facility","M00342208"
"541 WEST 21 STREET","Manhattan","1012308","104","Approved Work","Essential Facility; Single Worker Limit; Essential Business","123804491; 121204990; 123885698"
"542 EAST 79 STREET","MANHATTAN","1046419","108","Approved Work","Emergency Construction","M00229323"
"542 WEST 126TH STREET","Manhattan","1079729","109","Approved Work","Essential Facility","123256920"
"545 8 AVENUE","Manhattan","1013622","104","Approved Work","Emergency Construction","123817389"
"545 WEST 52ND STREET","Manhattan","1083290","104","Approved Work","Essential Business","123190590"
"546 6TH AVENUE","Manhattan","1015303","105","Approved Work","Electrical","M00345166"
"547 BROADWAY","Manhattan","1007577","102","Approved Work","Emergency Construction","121396079"
"547 WEST 47 STREET","Manhattan","1026982","104","Approved Work","Essential Facility","121204302"
"55 BROAD STREET","Manhattan","1000821","101","Approved Work","Essential Facility; Single Worker Limit","123127838; 123572632; 123843430; 123843449; M00001799"
"55 CENTRAL PARK WEST","Manhattan","1028166","107","Approved Work","Emergency Construction; Essential Facility","123832166; M00276167; M00342210"
"55 EAST 52 STREET","MANHATTAN","1083869","105","Approved Work","Essential Business","123847294; M00250410; M00250434; M00250442; M00287747; M00314661"
"55 EAST 59 STREET","MANHATTAN","1040766","108","Approved Work","LAA","M00340426"
"55 EAST 9 STREET","MANHATTAN","1009100","102","Approved Work","Essential Facility","123495182"
"55 FIFTH AVENUE","Manhattan","1009373","102","Approved Work","Essential Facility","123572366"
